–егион;январь 2015 г;‘евраль 2015 г;ћарт 2015 г;јпрель 2015 г;ћай 2015 г;»юнь 2015 г;»юль 2015 г;јвгуст 2015 г;—ент€брь 2015 г;ќкт€брь 2015 г;Ќо€брь 2015 г;ƒекабрь 2015 г;январь 2016 г;‘евраль 2016 г;ћарт 2016 г;јпрель 2016 г;ћай 2016 г;»юнь 2016 г;»юль 2016 г;јвгуст 2016 г;—ент€брь 2016 г;ќкт€брь 2016 г;Ќо€брь 2016 г;ƒекабрь 2016 г;январь 2017 г;‘евраль 2017 г;ћарт 2017 г;јпрель 2017 г;ћай 2017 г;»юнь 2017 г;»юль 2017 г;јвгуст 2017 г;—ент€брь 2017 г;ќкт€брь 2017 г;Ќо€брь 2017 г;ƒекабрь 2017 г;январь 2018 г;‘евраль 2018 г;ћарт 2018 г;јпрель 2018 г;ћай 2018 г;»юнь 2018 г;»юль 2018 г;јвгуст 2018 г;—ент€брь 2018 г;ќкт€брь 2018 г;Ќо€брь 2018 г;ƒекабрь 2018 г;январь 2019 г;‘евраль 2019 г;ћарт 2019 г;јпрель 2019 г;ћай 2019 г;»юнь 2019 г;»юль 2019 г;јвгуст 2019 г;—ент€брь 2019 г;ќкт€брь 2019 г;Ќо€брь 2019 г;ƒекабрь 2019 г;январь 2020 г;‘евраль 2020 г;ћарт 2020 г;јпрель 2020 г;ћай 2020 г;»юнь 2020 г;»юль 2020 г;јвгуст 2020 г;—ент€брь 2020 г;ќкт€брь 2020 г;Ќо€брь 2020 г;ƒекабрь 2020 г;январь 2021 г;‘евраль 2021 г;ћарт 2021 г;јпрель 2021 г;ћай 2021 г;»юнь 2021 г;»юль 2021 г;јвгуст 2021 г;—ент€брь 2021 г;ќкт€брь 2021 г;Ќо€брь 2021 г;ƒекабрь 2021 г;январь 2022 г;‘евраль 2022 г;ћарт 2022 г;јпрель 2022 г;ћай 2022 г;»юнь 2022 г;»юль 2022 г;јвгуст 2022 г;—ент€брь 2022 г;ќкт€брь 2022 г;Ќо€брь 2022 г;ƒекабрь 2022 г;январь 2023 г;‘евраль 2023 г;ћарт 2023 г;јпрель 2023 г;ћай 2023 г;»юнь 2023 г;»юль 2023 г;јвгуст 2023 г;—ент€брь 2023 г;ќкт€брь 2023 г;Ќо€брь 2023 г;ƒекабрь 2023 г;январь 2024 г;‘евраль 2024 г;ћарт 2024 г;јпрель 2024 г;ћай 2024 г;»юнь 2024 г;»юль 2024 г;јвгуст 2024 г;—ент€брь 2024 г;ќкт€брь 2024 г;Ќо€брь 2024 г;ƒекабрь 2024 г
    ћјЌ√»—“ј”— јя ќЅЋј—“№;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.8;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2.1;-;-;-;0.6;-;-;1.8;0.3;-;0.3;0.6;-;-;-;-;-;-;0.6;0.9;3.3;1.7;0.6;8.8;-;-;9;2.8;5.6;;;7.2;2.3;0.3;3.9;2;4.8;0.4;3.4;5.8;2.1;0.3;2.8;2.8;2.8;2.8;0.6;2.8;2.8;1.5;1.1;1.5;13.4;1.1;1.1;1.7;1.1;1.1;1.1;1.1;2;1.1;1.4;1.1;1.4;1.4;1.1;2.6;1.1;2;1.1;1.9;1.1;1.1;1.1;2.8;1.7;1.7;151.7;1.7;1.7;1.7;10.1;1.7;2.3;2.1
    ё∆Ќќ- ј«ј’—“јЌ— јя ќЅЋј—“№;434.41;519.6;344.5;626.5;331.3;464.7;145.9;221.3;254;312.8;177.3;863.1;392.3;233.1;354.3;398;226.5;619.4;240.9;539.7;338.1;286.9;579.3;1 022.90;372.6;968.1;1 500.40;993.5;377.1;1 606.60;776;521.2;895.6;909.8;1 044.70;2 417.80;355.6;249.3;1 663.50;2 122.10;1 381.20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
    ѕј¬Ћќƒј–— јя ќЅЋј—“№;402.8;408.8;424.9;488;440;518.2;770.7;842;776.1;345.4;282.4;790.2;339.9;269.3;499.2;576.6;368.7;871.1;646.8;508.5;973.4;232.8;631.4;638.6;338.9;158;158.4;388.1;254.5;416.1;282.4;289.3;345.1;773.6;824.6;992.7;393.5;265.7;391.6;201.1;433.7;753.7;294.9;325.1;786.6;775.6;733.5;1 622.80;212;441.3;533.6;321.9;706.1;534.1;881.5;496.5;355.2;293.8;1 059.60;1 544.30;355.2;243.3;612.8;277.5;579;456.7;1 014.20;716.1;636.9;886;818.7;2 188.30;398.5;404;870.2;923.4;740.5;607.1;959.6;917.5;731.2;545.4;887.6;1 810.00;271.9;2 370.50;962.2;1 008.00;517.8;687.1;678.4;598.3;883.3;587.8;740.8;1 700.90;549.2;660.7;915.1;768.1;869.2;1 089.90;1 072.20;1 236.90;2 337.10;996.3;1 918.90;3 755.40;1 112.20;961.5;409.4;983.5;1 020.00;1 508.80;2 012.30;2 007.40;1 848.30;1 064.50;1 310.20;1 556.50
    —≈¬≈–ќ- ј«ј’—“јЌ— јя ќЅЋј—“№;218.07;303.2;267.7;280.3;341.5;353.5;372.2;234.7;430.5;387.3;358;1 011.10;342;370.6;416.3;504.4;383;499.7;480.3;324.2;468.4;298;527.3;884.3;341.9;316.4;719.6;414.6;460.1;427.3;411.3;389.6;636;424.3;366.3;912.5;494.9;471.1;471;483.6;432.9;532.5;538.7;414.5;832;723.2;564.4;626.2;1 012.10;468.4;588.4;503.2;541;319;557.3;381.6;764.6;686.2;592.1;480.3;558.7;615.8;529;454.5;634.9;555.8;527.9;465.8;478.2;533.3;538.3;889;591.3;550.6;507.4;459.9;528.9;1 418.30;479.8;596.2;648.2;504.3;664.4;843.9;768.5;560.8;443;679.1;602.3;754.7;672.4;933.8;697.6;574.1;527.8;588.5;984.6;714.7;491.9;637.2;805.1;558.5;395.9;630.2;845.7;730.1;711.6;847.3;596.1;989.3;642.2;554;601;641.6;547;781.7;846.5;888.5;667.3;620.1
    ¬ќ—“ќ„Ќќ- ј«ј’—“јЌ— јя ќЅЋј—“№;159.16;156.5;148.9;163.8;144.6;239.6;115;104.6;122.4;104.6;206.8;219.2;204.4;177;172.6;211.8;141.7;134;142;91.9;283.7;147.7;217.1;273.5;203.8;128.8;199.4;186;184.5;128.1;118;111.2;172.1;221.5;284;227.4;248.2;159.6;215.6;245.8;303;199.4;139;164.3;572;174.7;284.7;314;163.8;237.9;266.1;184.7;200;199.4;89.9;208.9;120.7;139.3;113.3;212.8;151.4;168.1;160.5;193.7;198.1;392.1;281.3;240.6;327.9;194.5;303.6;446.2;208.8;174.9;289.1;194.1;216.2;242.6;238.6;214.7;213.3;225.5;214.6;364.5;333.7;165.1;164.2;254.4;166.7;87.6;112.2;152.5;164.2;110.2;182.4;146.3;142.2;153.7;132.3;280.4;288.2;180.8;102.8;101.3;136.4;124.1;119.5;226.4;307.9;178.1;104.4;97.8;255.8;135.6;90.5;92.8;157.3;135.5;105.1;140.8
    √ј—“јЌј;2.6;18.7;6.5;11.8;11.4;12.2;1.7;2.8;2.6;3;3.5;2.9;2.5;1.7;2;2.5;2.7;0.9;1.2;;5.3;;;1.4;2.5;;2.4;3.8;1.8;2.9;3.3;5;8.3;7.6;8;4;5.1;0.5;1.8;0.8;;3.4;1.8;2.4;1.3;1.1;2.3;0.8;1.2;1.8;0.6;1;0.6;-;-;-;-;-;-;2.5;-;;0.1;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;1.2;1.1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
    √Ўџћ ≈Ќ“;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;905.6;583.2;5.1;67.7;3.2;21.8;50.4;12.8;5.6;7.6;1 205.50;1 215.10;1 555.60;473.2;519.6;128.4;310.5;307.5;190.6;8.6;7.8;6.6;746.9;1 114.40;1 810.30;350.5;571.2;166;551.4;243.5;185.7;64.8;117.9;130.8;537.2;1 187.90;2 161.90;405.6;462.4;365.9;410;404.4;627.6;101;255.3;213.5;353.3;55.9;;5.1;0.6;35.3;4.4;4.1;4.8;57.5;3.7;140.9;103.3;5.6;23.4;46.9;23.7;76.4;1 283.70;180.1;53;174.3;73.2;119.8;104.4;6.1;16;9.8;12.1;12.3;159.2;245.2;115.8
    “”– ≈—“јЌ— јя ќЅЋј—“№;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2 793.30;1 730.90;1 152.80;566.9;455;753.2;983.4;92.3;95.3;1 414.20;242;411.6;3 765.30;636.7;206.9;578.9;4 854.40;1 504.60;2 283.80;210;113;1 923.90;247.7;133.3;3 484.20;301.4;1 052.80;1 152.50;4 039.10;2 950.10;1 758.40;445.6;608.2;400.5;1 158.70;955.6;688.1;519.6;5 463.30;1 411.70;3 026.90;2 180.10;3 163.40;586.3;818.1;1 473.60;1 226.80;1 090.10;1 092.40;1 065.40;4 968.50;2 037.70;3 958.60;1 838.20;2 672.80;646.9;627.6;849.7;3 207.00;1 558.10;1 228.00;1 290.40;5 666.10;4 217.20;1 004.80;936.4;3 805.00;601.4;5 917.20;1 366.10;4 009.20;1 575.60;10 529.90;1 593.90;4 331.40;8 049.50;2 910.80;2 821.30;13 033.70
    ќЅЋј—“№ ∆≈“≤—”;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1 219.60;30.9;32.8;42.6;402.5;197.1;241;114.8;96.2;217.3;55.1;71.8;1 058.90;47.7;52.6;55.2;58.4;181.8;278.2;102;117.7;74.7;43.8;249.2;687.3;1 116.10;54.6;171.4;113.1;126;741.8
    ќЅЋј—“№ ?Ћџ“ј”;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;46.3;59.2;69.1;4.7;3;30.2;78;0.9;0.8;0.8;1.3;1.5;48.3;62;78.1;2.3;2.5;4.8;3;3.3;3.8;4;4;4.3;1;1.3;1.5
    ќЅЋј—“№ јЅј…;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40.6;53.1;199.9;77.3;225.9;138.8;100.9;21.7;21.9;76.6;56.4;105.1;26.7;23.3;60.6;55.3;100.4;102.6;112.5;108.7;155.2;79.9;73.2;19.5;61.6;50.5;62.7;98.5;73.1;59.1;98.7
